Task Name,Model Associated,Order,Description,Tcode Associated
Assign internal order to internal order group,9.1.3.1 -IO Determine key cost drivers (Maintain Internal Order) 1.00,14,"after creating the internal order, need to assign this order to the internal order group if any.",SAP KOH1: Create Order Group (Application)
Assign licenses,11.2.2.6C R&C Monitor and test regulatory compliance position and existing controls (Blocked Sales Transactions) 1.00,15,,"Fiori /SAPSLL/LCLIC01: Display License for Trade Compliance Specialist (Application),
SAP /SAPSLL/LCLIC02: Change License (Application)"
Assign main Equipment to Functional Location,6.3.4.1E Manage Equipment Master 1.00,4,"Key activities:
Assign Main Equipment to Functional Location",Fiori IE02: Change Equipment for Technical Officer - Armed Forces (Application)
Assign or modify supplier characteristics to supplier class,4.2.5.1 Monitor Manage supplier information 2.00,59,,"Fiori CL01: Create Classes (Application),
Fiori CL02: Display Class. Manage Classes (Application)"
Assign owner,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,30,Classify and check the most likely cause department and assign an owner from that department to follow up the closure of the QN,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Assign Product to Bill of Distribution,4.1.5.1 -SP Maintain Master data 2.00,44,Assign Product to Bill of Distribution,"Fiori /SAPAPO/PROD_DISP: Display Products Assigned to a BOD (Application),
SAP /SAPAPO/PROD2BODDISP: Display Assignment-> Products to BOD (Application),
SAP ZSPK_PROD2BOD_M: Spares BOD Assignment to Products Based On SPK (Application)"
Assign Production Orders to Individuals,4.3.2.2A Execute detailed line schedule (Production Order Assignment & Material Issue) 1.00,3,,
Assign RMA Consent Smart form,5.3.2.6H Used / Unused Parts Return 1.00,17,"RMA: Return Material Authorization
Key Activities:
Mandatory RMA Consent Smart Form is assigned to the activity.
even if only a single item on the RMA is approved,
.",SAP FSM: Field Service Management (Application)
Assign sampling procedure to DMR,4.1.8.1E Assign Sampling Procedure to DMR 1.00,5,,"Fiori QDB1: Sampling Procedure - Assign Dynamic Modification Rule for Quality Planner (Application),
Fiori QDP1: Create Sampling Scheme for Quality Planner (Application)"
Assign Statistical process control-Usage 52,4.1.8.2A Inspection Plan 2.00,3,Create inspection plan with SPC requirement Usage setting will be 52,Fiori QP02: Change Inspection Plan for Quality Planner (Application)
Assign Sub-Equipment to main Equipment,6.3.4.1E Manage Equipment Master 1.00,7,"Key activities:
Manual assign Sub-Equipment to Main Equipment",Fiori IE02: Change Equipment for Technical Officer - Armed Forces (Application)
Assign to Manufacturing team for follow-up,4.1.1.5 -SP Define Capacities 2.00,13,,
Assign to Root Cause Department owner,13.3.3.1D -MFG Assess potential impact (MFG QNs) 1.00,18,"For OMS (Operational Management Sheet) issues, Manufacturing Engineering department will create an engineering record or add to existing engineering record for follow-up.
Classify the cause department in the QN","Fiori QM02: Change Quality Notification for Quality Engineer (Application),
Fiori QM03: Display Quality Notification (Application)"
Attach completed decontamination declaration for shipping,6.2.4.1 -SP Process returns (ARM) 1.00,42,One copy on the outside of the shipping container and the other copy attached to the part or assembly being returned to the supplier.,
Attach Parts request smart form in FSM,5.3.2.6 -Need Field Service parts delivery 1.00,5,"Key Activities:
FSE to attach Parts request smart form in FSM",SAP FSM: Field Service Management (Application)
Attend new hire training,4.3.2.2G R&C Execute detailed line schedule (Assembly Testing) 1.00,2,"The ASM General Assembly Workmanship guide has been created to provide guidance and methodology to eliminate poor workmanship issues during the ASM assembly and manufacturing process. The workmanship guide includes ""what not to do"" examples, displaying pictures of what is considered acceptable vs not acceptable as well as certain assembly instructions (i.e how to apply lubricants) and best practices",
Audit kit,4.4.3.1B Manage and track inventory deployment 2.00,7,,"Fiori /SCWM/RFUI: Test RF Environment for Warehouse Operative (Extended Warehouse Management) (Application),
SAP RF_Device: RF Device (Application),
SAP ZEWM_KIT_REPORT: Kit Report (Application)"
Augment Order BOM,3.5.4.7C Process back orders and updates (OFE Change Approval Ticket D Implementation) 4.3.1.4 1.00,4,"Key Action(s): This task will be opened when no ETO ticket is needed.
(Engineer To Order) A redline BOM should be created for the changes in the Order BOM",SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Augment Order BOM,3.5.4.4D OFE ER Phase: Manufacturing [55] + Installed Base [60] 2.00,7,"Key Activities:
Update the Order BOM in such a way that it represents in the best possible way represent the condition of the equipment/ retrofit as:
- Shipped
- Initially Installed
Based on information received from:
- Manufacturing Employee and BMO Engineer
This can, but is not limited to:
- Correcting the Order BOM to As Build state by: * Removal of NOT installed material or no longer applicable documentation * Addition of New or Exchanged materials, changed documentation
- Addition to the Order BOM of still to be (on side) installed retrofits",SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application)
Augment Order BOM (Redline Ticket),2.5.4.1 ETO Sub-System Design 1.00,6,"Augment order BOM as part of ETO Sub-System DesignIn this task the order BOM should be updated using BOM Redlining in three possible ways:By adding the ETO items.
By adding the new configuration items.
By removing the configuration items from the BOM.
Subsequently, the BOM changes need to be Reviewed, and Approved.
Once the Redline is Approved, then it should be Applied.",SAP IPS ETO Ticket Workflow (Engineer To Order) ( (Application)
Auto adjustment of inventory level,4.4.3.5 -GSNIA Track Inventory Accuracy (Goods Scrap Notification Inventory Adjustment) 1.00,18,"Key activities:
On Approval of the GSNIA the:Inventory level is auto adjusted by the quality as specified in it",SAP Core System (Script Engine) org (Application)
Auto block delivery for high value parts,3.5.4.5A Enter Sales Orders into system 1.00,15,,
Auto close,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",7,Auto closure of notification if SPDA is not approved,
Auto close,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",37,,
Auto closure of SMRA in Ariba and ECC,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",12,,SAP ARIBA - SCC - QM (Application)
Auto closure of SPDA in Ariba and ECC,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",41,Notification close if the is not approved,
Auto create Inbound Delivery & distribute to EWM,4.4.3.8E Manage Warehouse Transfers RTS (Returns To Stock) 1.00,3,EWM: Extended Warehouse Management,Fiori /SCWM/PRDI: Maintain Inbound Deliveries for Warehouse Clerk (Extended Warehouse Management) (Application)
Auto create Inbound delivery & distribution to EWM,4.4.3.8B Manage Warehouse Transfers (from IM warehouse) 2.00,5,EWM: Extended Warehouse Management,
Auto create inspection plan,4.2.3.99 -MM Plant Buy Ticket 2.00,20,,
Auto create Measuring Point “Wafer Count” for -P and -PCU Kit and all components,6.3.4.1H Creation of Measurement Points and Documents 1.00,3,"Automated task
Trigger: Goods Receipt of Production Order containing: - Kits: Serialized Material numbers ending -P or -PCU - Components: Serialized and flagged as Critical
(This is a background script which runs during use of production order: IK01",Fiori IK01: Create Measuring Point (Application)
Auto create outbound delivery and distribution to EWM,4.4.3.8A Manage Warehouse Transfers (EWM2IM) 2.00,3,EWM: Extended Warehouse Management,
Auto create Service Orders type ZMCO for impacted tools,5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,5,"ZMCO: Service Order of type: Change Order
Key Activities:
The system will automatically find impacted tools and create Service Order type ZMCO (Maintenance due to Change Order) based on data input file.",
Auto Create ZLV,3.5.4.5A Enter Sales Orders into system 1.00,8,,
"Auto create: Measurement Document “Cleaning Cycle”, Cleaning cycle count is increase by 1 for -P and -PCU Kit and all components",6.3.4.1H Creation of Measurement Points and Documents 1.00,16,"Whenever a goods receipt of subcontracting PO is performed, Measurement Document will be automatically created and cleaning cycle count of +1 is updated for -P and -PCU Kit and all components in the IBASE",Fiori IK11: Create Measuring Document (Application)
Auto create: Measuring Point “Cleaning Cycle” for -P and -PCU Kit and all components,6.3.4.1H Creation of Measurement Points and Documents 1.00,5,"During goods receipt of production order, the Measuring Point “Wafer Count” will be created for the serialized -P and -PCU Kit and critical serialized components.
Background program during production order: IK01",Fiori IK01: Create Measuring Point (Application)
Auto Goods Receipt in EWM,4.4.3.8E Manage Warehouse Transfers RTS (Returns To Stock) 1.00,4,EWM: Extended Warehouse Management,
Auto notification to requester of completed ticket,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,18,,MS PowerApp (Microsoft) (Application)
Auto post GI (Good Issued),4.4.3.1B Manage and track inventory deployment 2.00,18,,
Auto promote E-BOM to status 40. De-activate U-BOM if E-BOM exists.,4.2.3.99 -MM Plant Buy Ticket 2.00,4,"Key activities:
BOM promotion / deactivation for MM's on Ticket
If any of the BOM object is un-accessible (locked) the automation will:
Re-try several time's and finally fail halting the flow,
Add detailed entries in the ticket log (see event viewer)
Sending an examine issue task to the ticket creator",
Auto receipt goods in EWM,4.4.3.8B Manage Warehouse Transfers (from IM warehouse) 2.00,6,EWM: Extended Warehouse Management,
Auto split time [E4C-EHANCEMENT),5.3.2.6E Time Booking 2.00,3,Automated task,SAP E4C (Application)
Auto task Product quality to review and approve FA request,13.3.3.1A -FA Assess potential impact (Failure Analysis QN Intake) 1.00,18,,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Auto transfer Labor Hours to Service Order,5.3.2.6E Time Booking 2.00,16,Automated task,"SAP CAT6: Transfer External -> Time Management (Application),
SAP CAT9: Data Transfer CATS -> PM/CS (Application)"
Auto update QN priority according to response on Triage,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,24,"“Yes” to any Customer-impact: Priority 1
“Yes” to only Field-impact: Priority 2
""No"" to all: Priority 3",
Autoapply block ZP PGI,3.5.4.5A Enter Sales Orders into system 1.00,119,"ZP PGI block
Delivery Block","Email (Application),
MS Outlook (Application)"
Auto-create CKM Equipment,6.3.4.1E Manage Equipment Master 1.00,20,,
Auto-create Equipment object,6.3.4.1E Manage Equipment Master 1.00,2,Automated task,
Auto-create Sales Order of type: ZKB2,3.5.4.5A Enter Sales Orders into system 1.00,12,,
Automated PO Creation,4.2.4.4A Create/Distribute Purchase Orders 2.00,55,,
Automated PO Creation,4.2.4.4A Create/Distribute Purchase Orders 2.00,57,,
Automated PO Creation,4.2.4.4A Create/Distribute Purchase Orders 2.00,42,,
Automated PO Creation,4.2.4.4A Create/Distribute Purchase Orders 2.00,45,,
Automated QN closure,13.3.3.1A -FA Assess potential impact (Failure Analysis QN Intake) 1.00,9,,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Automatic post Goods Issue to parent order,4.3.2.2D Execute detailed line schedule (time approval) 1.00,9,Key action(s): Automatically post goods issue to superior order when automatic post receipt of sub-assembly upon confirming the last operation.,
