Tcode Name,Description
Fiori CNS54: Enhanced Individual Overview - Sales and Distribution Documents,
Fiori CO01: Create Production Order for Production Supervisor - Discrete Manufacturing,
Fiori CO02: Change Production Order for Production Supervisor - Discrete Manufacturing,
Fiori CO03: Display Production Order,
Fiori CO04N: Print Production Orders,
Fiori CO06: Change Product Availability Confirmation by Material,
Fiori CO07: Production Order without Material - Create for Production Supervisor - Discrete Manufacturing,
Fiori CO09: Monitor Product Availability,
Fiori CO10: Production Order with Project - Create,
Fiori CO11N: Confirm Production Order Operation for Production Operator - Discrete Manufacturing,
Fiori CO12: Collective Entry of Confirmations,
Fiori CO13: Cancel Production Order Confirmation for Production Operator - Discrete Manufacturing,
Fiori CO14: Display Production Order Confirmation,
Fiori CO15: Confirm Production Order,
Fiori CO16N: Reprocess Confirmations for Production Supervisor - Discrete Manufacturing,
Fiori CO1F: Create Progress Confirmation,
Fiori CO1P: Predefined Confirmation Processes,
Fiori CO24: Call Up Missing Part List,
Fiori CO27: Pick Components for Production Orders for Production Operator - Discrete Manufacturing,
Fiori CO33: Display Standard Trigger Point,
Fiori CO40: Converting Planned Order - to Production Order,
Fiori CO41: Convert Planned Orders to Production Orders,
Fiori CO46: Monitor Order Progress,
Fiori CO48: Convert Planned Order - to Production Order,
Fiori CO5N: Release Production Orders for Production Supervisor - Discrete Manufacturing,
Fiori CO88: Act. Settle Orders. Settle Orders - Optimized,
Fiori COFC: Reprocess Errors in Actual Costs,
Fiori COGI: Reprocess Goods Movements,
Fiori COHV: Mass Processing Production Orders for Production Supervisor - Discrete Manufacturing,
Fiori COMLWIPDISP: WIP at Actual Costs for Cost Accountant - Inventory,
Fiori COOIS: Monitor Production / Planned Orders for Production Supervisor - Discrete Manufacturing,
Fiori CPTA: Run Template Allocation - Orders - Actual,
Fiori CR01: Create Work Centre for Production Engineer - Discrete Manufacturing,
Fiori CR02: Change Work Centre for Production Engineer - Discrete Manufacturing,
Fiori CR03: Display Work Centre,
Fiori CR11: Create Capacity,
Fiori CR12: Change capacity,
Fiori CR13: Display Capacity,
Fiori CRQ1: Create QM Work Center for Quality Planner,
Fiori CS01: Create Bill of Material,
Fiori CS02: Change Bill of Material,
Fiori CS03: Display Bill of Material. Display Material BoM,
Fiori CS06: Display Material BoM Group,
Fiori CS07: Allocate Material BoM to Plant. Create BOM Plant Assignment,
"Fiori CS08: Change BOM Plant Assignment, Change Material BoM - Plant Alloc.",
"Fiori CS09: Display Allocations to Plant, Display BOM Plant Assignment",
Fiori CS11: Display BoM Level by Level,
Fiori CS11H: Display BoM Lvl by Lvl (SAP S/4HANA),
"Fiori CS12: Display Multilevel BOM Explosion, Multilevel BOM",
Fiori CS12H: Display multilevel BOM - SAP HANA,
Fiori CS13: Summarized BoM,
Fiori CS13H: Display Summarized BOM - SAP HANA,
"Fiori CS14: BOM Comparison, Compare BOMs",
Fiori CS15: Find BOM For Component,
Fiori CS63: Display Order BOM,
Fiori CS76: Display Multi-Level WBS BoM,
Fiori CS80: Change Documents for Material BoM,
Fiori CSC5: Single-Level Class Where-Used List,
Fiori CSD5: Single-Level Doc. Where-Used List,
Fiori CSK1: Sales order BOM multi-lev. explosion,
Fiori CSK2: Multi-level sales order BOM,
Fiori CSK3: Sales order BOM - summarized BOM,
Fiori CSKB: Start order Browser,
Fiori CSMB: Start Material BoM Browser,
Fiori CT04: Characteristics. Display Characteristic. Manage Characteristics,
Fiori CT10: Display Characteristic List,
Fiori CT12: Display Where Characteristics Are Used,
Fiori CU01: Create Dependency,
Fiori CU02: Change Dependency,
Fiori CU03: Display Dependency,
Fiori CU04: Dependency List,
Fiori CU05: Dependency Where-Used List,
Fiori CU23: Display Dependency Net,
Fiori CU41: Create Configuration Profile,
Fiori CU43: Display Configuration Profile,
Fiori CU50: Material Config. Simul./Modelling,
Fiori CU60: Table Maintenance,
Fiori CU63: Display Table Structure,
Fiori CU64: Table Structure List,
Fiori CURTOADV_CREATE: PDS Transfer (SAP PP/DS on SAP ERP). Transfer Production Data Structures,
Fiori CV01N: Create Document,
Fiori CV02N: Change Document,
Fiori CV03N: Display document,
Fiori CV04N: Find Document,
Fiori CV12: Change Document Structure for Design Engineer,
Fiori CV13: Display Document Structure for Design Engineer,
Fiori CV16: Display Document BOM Group,
Fiori CWBQM: Inspection Plans - Engineering Workbench for Quality Planner,
Fiori CX20: Consolidation Monitor,
Fiori CXCD: Data Monitor,
Fiori CXGP: Set Global Parameters,
Fiori Display MB5T: Stock in Transit for Inventory Manager,
Fiori DMS_CONV01: Document Start Conversion,
Fiori DMS_REG01: Document Registration for Conversion,
Fiori DP80: Create Quotation,
Fiori DP90: Create Resource-Related Billing Request,
Fiori DP91: Create Billing Request Document,
Fiori DP93: Resource-Related Billing Between Company Codes,
Fiori DP94: Resource-Related Billing Between Company Codes - Collective Processing,
Fiori DP95: Resource-Related Billing - Collective Processing,
Fiori DP96: Resource-Related Billing Document - Collective Processing,
Fiori F.08: Display G/L Account Balances,
Fiori F.13: Clear Open Items Automatically,"Attention this transaction contains a DOT
see App ID field in Fiori Apps Reference Library"
Fiori F.14: Carry Out Recurring Entries,
Fiori F.15: Display Recurring Entries (Overview),
Fiori F.19: Repost GR/IR Clearing for General Ledger Accountant,"Attention this transaction contains a DOT
see App ID field in Fiori Apps Reference Library"
Fiori F.51: Display G/L Line Items,
Fiori F.56: Delete Recurring Entry,
Fiori F.62: Create Correspondence Requests - For Internal Documents,
Fiori F.80: Reverse Journal Entries - Multi,
Fiori F.81: Reverse Accrual/Deferral Journal Entry,
Fiori F-01: Create Sample Journal Entries,
Fiori F-02: Create G/L Account Postings,
Fiori F0251A: Manage Material Coverage (Version 2) for Production Planner,
Fiori F0263: Monitor Internal Requirements for Production Planner,
Fiori F-03: Clear G/L Accounts,
Fiori F0309A: Inspection Point (S/4HANA) for Quality Technician,
Fiori F0311A: Inspection Method (S/4HANA) for Quality Technician,
Fiori F0312: Quality Notification for Quality Engineer,
Fiori F0337: Manage Purchase Categories for Strategic Buyer,
Fiori F0354: Supplier for Purchaser,
Fiori F-04: Post with Clearing,
Fiori F-05: Post Foreign Currency Valuation - F-05,
Fiori F0515A: Bank Risk (S/4HANA) for Cash Manager,
Fiori F0670: Manage Change Requests for Material Planner - External Procurement,
Fiori F0701A: Display Supplier Balances (Version 2) for Accounts Payable Accountant,
Fiori F0707A: Display G/L Account Balances (New) for General Ledger Accountant,
Fiori F0708: Balance Sheet/Income Statement for General Ledger Accountant,
Fiori F0711: Manage Customer Line Items for Accounts Receivable Accountant,
Fiori F0712: Manage Supplier Line Items for Accounts Payable Accountant,
Fiori F0717: Manage Journal Entries for General Ledger Accountant,
Fiori F0718: Post General Journal Entries for General Ledger Accountant,
Fiori F0731A: Manage G/L Account Master Data (Version 2) for General Ledger Accountant,
Fiori F0763A: Manage Chart of Accounts for General Ledger Accountant,
Fiori F0764: Manage Profit Center Groups for Divisional Accountant,
Fiori F0773: Clear Incoming Payments for Accounts Receivable Accountant,
Fiori F0842: Manage Purchase Orders for Purchaser,
Fiori F0842A: Manage Purchase Orders (Version 2) for Purchaser,
Fiori F0860A: Analyze Overdue Items (Version 2) for Accounts Payable and Receivable Manager (FI-CA),
Fiori F0862: My Inbox for Manager,
Fiori F0925: Market Segments - Plan/Actual for Cost Accountant - Sales,
Fiori F0929: Internal Orders - Plan/Actual YTD for Cost Accountant - Overhead,
Fiori F0930: Projects - Plan/Actual YTD for Cost Accountant - Overhead - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 06 Sep 2024)"
Fiori F0934: Cost Centers - Plan/Actual with Currency Translation for Cost Accountant - Overhead,
Fiori F0949: Cost Centers - Plan/Actual for Cost Accountant - Overhead - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 06 Sep 2024)"
Fiori F0960: Market Segments - Actual for Cost Accountant - Sales,
Fiori F0963: Cost Centers - Actual for Cost Accountant - Overhead,
Fiori F0996: Trail Balance for General Ledger Accountant,
Fiori F1024: Manage Cost Center Groups for Cost Accountant - Overhead,
Fiori F1026: Manage Internal Order Groups for Cost Accountant - Overhead,
Fiori F1027: Manage Activity Type Groups for Cost Accountant - Overhead,
Fiori F1048: Process Purchase Requisitions for Purchaser,
Fiori F1053A: Manage Supplier Master Data or Master Data Specialist - Business Partner Data,
Fiori F1060A: Supplier Invoices List (Version 2) for Accounts Payable Accountant - Procurement,
Fiori F110: Schedule Automatic Payments,
Fiori F110S: Schedule Automatic Payments Periodically,
Fiori F1250: Sales Volume - Flexible Analysis,
Fiori F1345: Post Incoming Payments for Accounts Receivable Accountant,
Fiori F1366A: Manage Bank Accounts for Cash Manager,
Fiori F1367: Clear Outgoing Payments for Accounts Payable Accountant,
"Fiori F13E: Clear Open Items - Automatic Clearing, Clear Open Items Automatically - With Currency",
Fiori F1425A: Display MRP Master Data Issues for Material Planner - External Procurement,
Fiori F1426: Display MRP Key Figures for Material Planner - External Procurement,
Fiori F1443A: Manage Cost Centers (Version 2) for Cost Accountant - Overhead,
Fiori F1444: Manage Profit Centers for Controller,
Fiori F1483: Schedule Sales Accounting Jobs for Cost Accountant - Sales,
Fiori F1487: Application Logs,
Fiori F150: Create Dunning Notices for Accounts Receivable Accountant,
Fiori F1564: Manage Bank Statements for Cash Management Specialist,
Fiori F1574: Manage Banks for Cash Manager - DEPRECATED,"Attention:
Status: Deprecated for selected release version
(2024/05/23 Acc to: App details by SAP Fiori Apps Reference Library - see Attachments -)"
Fiori F1574A: Manage Banks - Cash Management for Cash Manager,
Fiori F1578: Manage Outgoing Checks for Accounts Payable Accountant,
Fiori F1579: Clear G/L Accounts - Manual Clearing for General Ledger Accountant,
Fiori F1582: Sales Orders - Actuals for Cost Accountant - Sales - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 06 Sep 2024)"
Fiori F1597: Post Tax Payables for General Ledger Accountant,
Fiori F1598: Manage Recurring Journal Entries for General Ledger Accountant,
Fiori F1600A: Manage Purchase Contracts (Version 2) for Purchaser,
Fiori F1603A: Manage Statistical Key Figures (Version 2) for Cost Accountant - Overhead,
Fiori F1605A: Manage Activity Types (Version 2) for Cost Accountant - Overhead,
Fiori F1606: Post Currency Adjustments for General Ledger Accountant,
Fiori F1614: Asset Transactions for Asset Accountant,
Fiori F1615: Asset History Sheet for Asset Accountant,
Fiori F1616: Depreciation Lists for Asset Accountant,
Fiori F1617: Asset Balances for Asset Accountant,
Fiori F1649: Monitor Responses for Strategic Buyer,
Fiori F1650: Evaluate Suppliers for Employee - Procurement,
Fiori F1661A: Supplier Evaluation by Quantity (Version 2) for Strategic Buyer,
Fiori F1663A: Supplier Evaluation by Price (Version 2) for Strategic Buyer,
Fiori F1664A: Supplier Evaluation by Time (Version 2) for Strategic Buyer,
Fiori F1680: Manage Incoming Payment Files for Cash Management Specialist,
Fiori F1685: Record Inspection Results for Quality Technician - DEPRECATED,Attention: Status Deprecated for selected release version
Fiori F1685A: Record Inspection Results (Version 2) for Quality Technician,
"Fiori F1686A: Master Data Governance, Mass Processing (Version 2) for Master Data Specialist",
Fiori F1705: Create Inbound Delivery for Warehouse Clerk (Extended Warehouse Management),
Fiori F1710: Profit and Loss - Plan/Actual for Cost Accountant - Overhead,
Fiori F1733: Aging Analysis (S/4HANA) for Accounts Payable Manager,
Fiori F1740: Days Payable Outstanding Analysis (S/4HANA) for Accounts Payable Manager,
Fiori F1758: House Bank (S/4HANA) for Cash Manager,
Fiori F1851: Manage Sales Contracts,
Fiori F1852: Manage Sales Quotations,
Fiori F1859: Manage Source Lists for Purchaser,
Fiori F1861: Display Supplier List for Accounts Payable Accountant,
Fiori F1877: Manage Quota Arrangements for Purchaser,
Fiori F1914: Schedule Asset Accounting Jobs for Asset Accountant,
Fiori F1927: Schedule General Ledger Jobs for General Ledger Accountant,
Fiori F1943: Analyze PIR Quality for Material Planner - External Procurement,
Fiori F1956: Inventory Turnover Analysis for Inventory Manager,
Fiori F1975: Milestone Overview for Project Financial Controller,
Fiori F1976: Project Definition Overview for Project Financial Controller,
Fiori F1982: Manage Purchasing Info Records for Purchaser,
Fiori F1991: Manage Supplier Quotations,
Fiori F2009: Reassign Costs and Revenues for Cost Accountant - Overhead,
Fiori F2019: Overall Supplier Evaluation for Strategic Buyer,
Fiori F2027: Manage Service Entry Sheets - Lean Services for Employee - Procurement,
Fiori F2049: Manage RFQs for Purchaser,
Fiori F2130: Edit Options for Journal Entries - My Settings for General Ledger Accountant,
Fiori F2137: Slow or Non-Moving Materials for Inventory Manager,
Fiori F2173: Find Maintenance Order and Operation for Maintenance Technician,
Fiori F2175: Find Maintenance Order for Maintenance Technician,
Fiori F2179: Manage Scheduling Agreement for Purchaser,
Fiori F2180: Inspection Lot (S/4HANA) for Quality Technician,
Fiori F2181: Inspection Operation (S/4HANA) for Quality Technician,
Fiori F2187A: Sales Volume - Flexible Analysis for Sales Manager,
Fiori F2191: Display Scorecards for Strategic Buyer,
Fiori F2192: Manage Activities for Strategic Buyer,
Fiori F2193: Manage Templates for Strategic Buyer,
Fiori F2194: Manage Questionnaire for Strategic Buyer,
Fiori F2197: Translate Purchasing Category for Strategic Buyer,
Fiori F2200: My Sales Overview for Internal Sales Representative,
Fiori F2214: Material Where Used List for BOMs for BOM Engineer,
Fiori F2219: Display Master Inspection Characteristic for Quality Technician,
Fiori F2223: Reset Cleared Items for General Ledger Accountant,
Fiori F2229: Manage Purchase Requisition Professional for Purchaser,
Fiori F2234A: Supplier Evaluation by Questionnaire (Version 2) for Strategic Buyer,
Fiori F2254: Display Sample for Quality Technician,
Fiori F2255: Display Sampling Procedure for Quality Planner,
Fiori F2256: Display Quality Info Record for Procurement for Quality Planner,
Fiori F2256A: Manage Quality Info Records for Quality Engineer,
Fiori F2293: Manage Posting Periods for General Ledger Accountant,
Fiori F2314: Procurement Overview for Project Manager (Commercial Project Management),
Fiori F2324: Compare Supplier Quotations for Purchaser,
Fiori F2328: Display Dunning History for Accounts Receivable Accountant,
Fiori F2335: Manage Production Operations for Production Supervisor - Discrete Manufacturing,
Fiori F2336: Manage Production Orders for Production Supervisor - Discrete Manufacturing,
Fiori F2343: Manage Inspection Lots for Quality Technician,
